ror_id,display_name,acronyms,alt_names,types,city,status,established,created,modified,isni,fundref,wikidata_id,website,parents,children,related,predecessors,successors
01v66s741,3D-Micromac (Germany),,,company,Chemnitz,active,2002,2018-11-14,2024-12-11,0000 0004 4682 3969,,Q30284348,https://3d-micromac.com/,,,,,
01zkjwb76,A.S.T. Group (Germany),,Angewandte System Technik,company,Dresden,active,,2018-11-14,2024-12-11,,,,https://www.ast.de/en/,,,,,
03cmwaa13,ABX-CRO Advanced Pharmaceutical Services (Germany),,,company,Dresden,active,1996,2018-11-14,2024-12-11,,,,http://www2.abx-cro.com/,,,,,
03famzf42,Acqua Klinik,,,healthcare,Leipzig,active,,2018-11-14,2024-12-11,,,,https://www.acqua-klinik.de/,,,,,
03xn5qf90,Adelwitz Technologiezentrum (Germany),ATZ,,company,Torgau,active,1992,2018-11-14,2024-12-11,0000 0004 0549 1275,,,http://atz-gmbh.com/,,,,,
04pnnsh51,Advanced Mask Technology Center (Germany),AMTC,,company,Dresden,active,2002,2018-11-14,2024-12-11,,,,http://www.amtc-dresden.com/Advanced-Mask-Technology-Center::1&language=2,,,,,
05bmabg32,Advanced Optics Solutions (Germany),,,company,Dresden,active,1998,2018-11-14,2024-12-11,0000 0004 0549 0942,,Q30255190,https://www.aos-fiber.com/,,,,,
054kgce12,An-Institut für Transfer und Weiterbildung,TUCed,,education,Chemnitz,active,2001,2019-11-07,2024-12-11,,,,https://www.tuced.de/,00a208s56,,,,
013ambk20,Apogepha Arzneimittel (Germany),,,company,Dresden,active,1882,2018-11-14,2024-12-11,,,,http://www.apogepha.com/,,,,,
05ejpyv46,Applied Materials (Germany),,,company,Dresden,active,1967,2018-11-14,2024-12-11,0000 0004 0374 139X,,Q30255420,http://www.appliedmaterials.com/,04h1q4c89,,,,
04nzxdc92,Arioso Systems (Germany),,,company,Dresden,active,2020,2021-04-06,2024-12-11,,,Q103456417,https://www.arioso-systems.com,,,,,
0364hq403,AXO Dresden (Germany),,,company,Dresden,active,2002,2020-07-06,2024-12-11,0000 0004 0568 2485,,,http://www.axo-dresden.de/,,,,,
05s928n76,Bach Archiv Leipzig,,Bach-Archiv,archive,Leipzig,active,1950,2019-12-18,2024-12-11,0000 0004 0397 0029,,Q798038,https://www.bach-leipzig.de/de/bach-archiv,03s7gtk40,,,,
0260qqv98,Barkhausen Institut,BI,Barkhausen Institut gGmbH; Barkhausen Institute,facility,Dresden,active,2017,2021-09-23,2025-06-24,0000 0004 7707 1800,,,https://www.barkhauseninstitut.org,,,,,
01dvske68,Base4NFDI,,Basic Services for NFDI; Basisdienste für die NFDI,other,Dresden,withdrawn,2023,2024-09-14,2024-12-11,,,Q113544452,https://base4nfdi.de,05qj6w324,,,,
00e8pgs50,Beckmann-Institut für Technologieentwicklung,BTE,,nonprofit,Chemnitz,active,1998,2018-11-14,2024-12-11,,,,http://beckmann-institut.de/,,,,,
04jghfn91,Berufsbildungswerk Leipzig für Hör- und Sprachgeschädigte gGmbH,,BBW Leipzig; BBW-Leipzig-Gruppe; Berufsbildungswerk Leipzig,education,Leipzig,active,1991,2025-03-17,2025-03-17,,,Q828819,https://www.bbw-leipzig.de/ueber-uns/forschung-entwicklung/,,,,,
05rxdtg07,BioCrea (Germany),,,company,Radebeul,active,2010,2018-11-14,2024-12-11,0000 0004 4902 7570,,Q30286772,http://www.biocrea.com/,,,,,
04rreza77,Bombastus-Werke (Germany),,,company,Freital,active,1904,2018-11-14,2024-12-11,0000 0004 5895 0279,,,http://www.bombastus-werke.net/,,,,,
04pphg116,c-LEcta (Germany),,,company,Leipzig,active,2004,2018-11-14,2024-12-11,,,Q30254460,http://www.c-lecta.com/,,,,,
00reyxa23,Cenix BioScience (Germany),,,company,Dresden,active,1999,2018-11-14,2024-12-11,0000 0004 0643 2744,,Q30284366,http://www.cenix-bioscience.com/,,,,,
042b69396,Center for Advanced Systems Understanding,CASUS,,facility,Görlitz,active,2019,2021-09-23,2024-12-11,,,,https://www.casus.science/,01zy2cs03,,,,
0252zrf32,Center for Criminological Research Saxony,ZKFS,Zentrum für kriminologische Forschung Sachsen; Zentrum für kriminologische Forschung Sachsen e.V.,nonprofit,Chemnitz,active,2021,2025-03-17,2025-03-17,0000 0005 0677 1743,,,https://www.zkfs.de,,,,,
01t4ttr56,Center for Scalable Data Analytics and Artificial Intelligence,,ScaDS.AI,education,Dresden,active,2014,2024-08-19,2025-04-28,,,,https://scads.ai,03s7gtk40; 042aqky30,,,,
05hrn3e05,Center for Systems Biology Dresden,CSBD,,facility,Dresden,active,2010,2018-11-14,2025-04-28,,,,http://www.csbdresden.de/,01bf9rw71; 05b8d3w18; 042aqky30,,,,
03chegm58,Cetex (Germany),,,company,Chemnitz,active,2016,2019-11-07,2024-12-11,,,,http://www.cetex.de/,,,,,
00a208s56,Chemnitz University of Technology,,TU Chemnitz; Technische Universität Chemnitz,education; funder,Chemnitz,active,1836,2018-11-14,2024-12-11,0000 0001 2294 5505,100009117,Q159630,https://www.tu-chemnitz.de/index.html.en,,054kgce12,,,
025zpy585,Chemnitzer Werkstoffmechanik GmbH (Germany),CWM,,company,Chemnitz,active,1990,2020-07-06,2024-12-11,,,,https://www.cwm-chemnitz.de/,,,,,
046dsb945,Cicor (Germany),,RHe Microsystems,company,Radeberg,active,1966,2018-11-14,2024-12-11,,,Q30291355,https://www.cicor.com/,,,,,
04ee5c022,Cognitec (Germany),,,company,Dresden,active,2002,2018-11-14,2024-12-11,,,Q54980123,http://www.cognitec.com/,,,,,
005md5539,Colour Control Farbmesstechnik (Germany),,,company,Chemnitz,active,,2020-07-06,2024-12-11,,,,http://www.colour-control.com/,,,,,
00kkpv737,Complexity and Topology in Quantum Matter,CTQMAT,Cluster of Excellence ct.qmat – Complexity and Topology in Quantum Matter; Exzellenzcluster ct.qmat - Komplexität und Topologie in Quantenmaterialien; ct.qmat,facility,Würzburg; Dresden,active,2019,2021-09-23,2025-04-28,,,,https://www.ctqmat.de/,042aqky30; 00fbnyb24,,,,
02yvvjj13,Cornelsen (Germany),,,company,Dresden,active,1946,2019-11-07,2024-12-11,0000 0004 0552 5703,,Q1134065,https://www.cornelsen.de/,,,,,
03na4j812,CreaPhys (Germany),,,company,Dresden,active,1999,2018-11-14,2024-12-11,,,,https://www.creaphys.com,,,,,
03r41zp91,DAS Environmental Expert (Germany),,,company,Dresden,active,1991,2018-11-14,2024-12-11,,,Q30256251,https://www.das-ee.com/,,,,,
01653xx13,Data Futures GmbH,DF,datafutures,nonprofit,Leipzig,active,2017,2024-02-13,2024-12-11,,,,https://www.data-futures.org,,,,,
05nm1mt28,DBI - Gastechnologisches Institut,DBI - GTI,,other,Freiberg,active,,2018-11-14,2024-12-11,,,,http://www.dbi-gti.de/home.html,,,,,
00f1ezm10,Deutsche Gartenbauwissenschaftliche Gesellschaft e. V.,DGG,Deutsche Gartenbauwissenschaftliche Gesellschaft; Deutsche Gartenbauwissenschaftliche Gesellschaft eV; German Society for Horticultural Science,other,Rötha,active,1961,2025-01-21,2025-01-22,0000 0001 0722 7396,,Q15805434,https://dgg-online.org,,,,,
008qpg558,Deutsches Biomasseforschungszentrum,DBFZ,,nonprofit,Leipzig,active,2008,2018-11-14,2024-12-11,0000 0004 0374 1867,,,https://www.dbfz.de,,,,,
04ekv3k57,Development Bank of Saxony,SAB,Sächsische Aufbaubank,other; funder,Dresden,active,1991,2018-11-14,2024-12-11,,501100006298,,https://www.sab.sachsen.de/en/,,,,,
0525npv05,Dr Matzat & Co (Germany),,Spann- und Fertigungstechnik,company,Auerbach,active,,2018-11-14,2024-12-11,,,Q30256114,https://www.dr-matzat.de/de/,,,,,
04wqsqf86,Dresden Academy of Fine Arts,HfBK,Hochschule für Bildende Künste Dresden,education,Dresden,active,1764,2018-11-14,2024-12-11,0000 0001 0768 0430,,Q464752,http://www.hfbk-dresden.de/en/,,,,,
02q6x7761,Dresden Elektronik Ingenieurtechnik (Germany),,,company,Dresden,active,,2018-11-14,2024-12-11,,,,https://www.dresden-elektronik.de/,,,,,
01t4pxy10,Dresden International University,DIU,,education,Dresden,active,2003,2018-11-14,2024-12-11,0000 0000 9874 1261,,Q1258462,http://www.di-uni.de/index.php?id=20,,,,,
04wtxqn67,Dresden State Art Collections,SKD,Staatliche Kunstsammlungen Dresden,archive,Dresden,active,1560,2018-11-14,2024-12-11,0000 0001 2175 757X,,Q653002,http://www.skd.museum/en/homepage/index.html,,,,,
